[0]501 Lionfish 11/Nov/2007     Chapter One     The Worst BirthdayContents   Next Chapter
[1]791    Not for the first time, an argument had broken out over breakfast at number four, Privet Drive
[26783]2219    He had no problem with any of the written questions and took particular pleasure, during the practical examination, in performing all the counter-jinxes and defensive spells right in front of Umbridge, who was watching coolly from near the doors into the Entrance Hall
[26784]363   Oh, bravo
[26785]12369  ' cried Professor Tolty, who was examining Harry again, when Harry demonstrated a perfect boggart banishing spell
[26786]343    Very good indeed
[26787]5773   Well, I think that's all, Potter 
[26788]0   
[26789]0   
[26790]37    unless 
[26791]0   
[26792]0   
[26793]387   'He leaned forwards a little
[26794]457   I heard, from my dear friend Tiberius Ogden, that you can produce a Patronus
[26795]87   For a bonus point 
[26796]0   
[26797]0   
[26798]0    
[26799]7562  'Harry raised his wand, looked directly at Umbridge and imagined her being sacked
[26800]8   Expecto patronum
[26801]959  'His silver stag erupted from the end of his wand and cantered the length of the Hall
[26802]1863    All of the examiners looked around to watch its progress and when it dissolved into silver mist Professor Tofty clapped his veined and knotted hands enthusiastically
[26803]35   Excellent
[26804]5086  ' he said
[26805]461    Very well, Potter, you may go
[26806]7460  'As Harry passed Umbridge beside the door, their eyes met
[26807]1173    There was a nasty smile playing around her wide, slack mouth, but he did not care
[26808]1174    Unless he was very much mistaken (and he was not planning on telling anybody, in case he was), he had just achieved an Outstanding' OWL
[26809]9795   On Friday, Harry and Ron had a day off while Hermione sat her Ancient Runes exam, and as they had the whole weekend in front of them they permitted themselves a break from revision
[26810]862    They stretched and yawned beside the open window, through which warm summer air was wafting as they played wizard chess
[26811]6735    Harry could see Hagrid in the distance, teaching a class on the edge of the Forest
[26812]3767    He was trying to guess what creatures they were examining-he thought it must be unicorns, because the boys seemed to be standing back a little-when the portrait hole opened and Hermione clambered in, looking thoroughly bad-tempered
[26813]11   How were the Runes
[26814]7118  ' said Ron, yawning and stretching
[26815]6756   I mis-translated ehwaz,' said Hermione furiously
[26816]122    It means partnership, not defence,I mixed it up with eihwaz
[26817]15364   'Ah well,' said Ron lazily, that's only one mistake, isn't it, you'll still get-'Oh, shut up
[26818]6784  ' said Hermione angrily
[26819]102    It could be the one mistake that makes the difference between a pass and a fail
[26820]14995    And what's more, someone's put another Niffler in Umbridge's office
[26821]20659    I don't know how they got it through that new door, but I just walked past there and Umbridge is shrieking her head off-by the sound of it, it tried to take a chunk out of her leg-'Good,' said Harry and Ron together
[26822]343   It is not good
[26823]6709  ' said Hermione hotly
[26824]5740    She thinks it's Hagrid doing it, remember
[26825]993   And we do not want Hagrid chucked out
[26826]18356  'He's teaching at the moment; she can't blame him,' said Harry, gesturing out of the window
[26827]6096   Oh, you're so naive sometimes, Harry
[26828]1511    You really think Umbridge will wait for proof
[26829]7391  ' said Hermione, who seemed determined to be in a towering temper, and she swept off towards the girls' dormitories, banging the door behind her
[26830]17888   Such a lovely, sweet-tempered girl,' said Ron, very quietly, prodding his queen forward to beat up one of Harry's knights
[26831]21296   Hermione's bad mood persisted for most of the weekend, though Harry and Ron found it quite easy to ignore as they spent most of Saturday and Sunday revising for Potions on Monday, the exam which Harry had been looking forward to least-and which he was sure would be the downfall of his ambitions to become an Auror
[26832]2110    Sure enough, he found the written paper difficult, though he thought he might have got full marks on the question about Polyjuice Potion; he could describe its effects accurately, having taken it illegally in his second year
[26833]112   The afternoon practical was not as dreadful as he had expected, it to be
[26834]696    With Snape absent from the proceedings, he found that he was much more relaxed than he usually was while making potions
[26835]13012    Neville, who was sitting very near Harry, also looked happier than Harry had ever seen him during a Potions class
[26836]12589    When Professor Marchbanks said, Step away from your cauldrons, please, the examination is over,' Harry corked his sample flask feeling that he might not have achieved a good grade but he had, with luck, avoided a fail
[26837]6231   Only four exams left,' said Parvati Patil wearily as they headed back to Gryffindor common room
[26838]0   Only
[26839]6703  ' said Hermione snappishly
[26840]6255    I've got Arithmancy and it's probably the toughest subject there is
[26841]1024  'Nobody was foolish enough to snap back, so she was unable to vent her spleen on any of them and was reduced to telling off some first-years for giggling too loudly in the common room
[26842]11759   Harry was determined to perform well in Tuesday's Care of Magical Creatures exam so as not to let Hagrid down
[26843]2054    The practical examination took place in the afternoon on the lawn on the edge of the Forbidden Forest, where students were required to correctly identify the Knarl hidden among a dozen hedgehogs (the trick was to offer them all milk in turn: Knarls, highly suspicious creatures whose quills had many magical properties, generally went berserk at what they saw as an attempt to poison them); then demonstrate correct handling of a Bowtruckle; feed and clean out a Fire Crab without sustaining serious burns; and choose, from a wide selection of food, the diet they would give a sick unicorn
[26844]6762   Harry could see Hagrid watching anxiously out of his cabin window
[26845]18674    When Harry's examiner, a plump little witch this time, smiled at him and told him he could leave, Harry gave Hagrid a fleeting thumbs-up before heading back to the castle
[26846]386   The Astronomy theory paper on Wednesday morning went well enough
[26847]11803    Harry was not convinced he had got the names of all Jupiter's moons right, but was at least confident that none of them was inhabited by mice
[26848]329    They had to wait until evening for their practical Astronomy; the afternoon was devoted instead to Divination
[26849]10860   Even by Harry's low standards in Divination, the exam went very badly
[26850]3891    He might as well have tried to see moving pictures on the desktop as in the stubbornly blank crystal ball; he lost his head completely during tea-leaf reading, saying it looked to him as though Professor Marchbanks would shortly be meeting a round, dark, soggy stranger, and rounded off the whole fiasco by mixing up the life and head lines on her palm and informing her that she ought to have died the previous Tuesday
[26851]7682   Well, we were always going to fail that one,' said Ron gloomily as they ascended the marble staircase
[26852]12826    He had just made Harry feel rather better by telling him how he had told the examiner in detail about the ugly man with a wart on his nose in his crystal ball, only to look up and realise he had been describing his examiner's reflection
[26853]13527   We shouldn't have taken the stupid subject in the first place,' said Harry
[26854]0   Still, at least we can give it up now
[26855]11095   'Yeah,' said Harry
[26856]127    No more pretending we care what happens when Jupiter and Uranus get too friendly
[26857]6483   'And from now on, I don't care if my tea-leaves spell die, Ron, die-I'm just chucking them in the bin where they belong
[26858]8491   'Harry laughed just as Hermione came running up behind them
[26859]250    He stopped laughing at once, in case it annoyed her
[26860]14702   Well, I think I've done all right in Arithmancy,' she said, and Harry and Ron both sighed with relief
[26861]1938    Just time for a quick look over our star-charts before dinner, then 
[26862]0   
[26863]0   
[26864]555   'When they reached the top of the Astronomy Tower at eleven o'clock, they found a perfect night for stargazing, cloudless and still
[26865]277    The grounds were bathed in silvery moonlight and there was a slight chill in the air
[26866]1360    Each of them set up his or her telescope and, when Professor Marchbanks gave the word, proceeded to fill in the blank star-chart they had been given
[26867]302   Professors Marchbanks and Tofty strolled among them, watching as they entered the precise positions of the stars and planets they were observing
[26868]288    All was quiet except for the rustle of parchment, the occasional creak of a telescope as it was adjusted on its stand, and the scribbling of many quills
[26869]1396    Half an hour passed, then ar hour; the little squares of reflected gold light flickering on the: ground below started to vanish as lights in the castle windows were extinguished
[26870]7304   As Harry completed the constellation Orion on his chart, however, the front doors of the castle opened directly below the parapet where he was standing, so that light spilled down the stone steps a little way across the lawn
[26871]6721    Harry glanced down as he made a slight adjustment to the position of his telescope and saw five or six elongated shadows moving over the brightly lit grass before the doors swung shut and the lawn became a sea of darkness once more
[26872]5915   Harry put his eye back to his telescope and refocused it, now examining Venus
[26873]1624    He looked down at his chart to enter the planet there, but something distracted him; pausing with his quill suspended over the parchment, he squinted down into the shadowy grounds and saw half a dozen figures walking over the lawn
[26874]759    If they had not been moving, and the moonlight had not been gilding the tops of their heads, they would have been indistinguishable from the dark ground on which they walked
[26875]6130    Even at this distance, Harry had a funny feeling he recognised the walk of the squattest of them, who seemed to be leading the group
[26876]1423   He could not think why Umbridge would be taking a stroll outside after midnight, much less accompanied by five others
[26877]176    Then somebody coughed behind him, and he remembered that he was halfway through an exam
[26878]5009    He had quite forgotten Venus's position
[26879]1204    Jamming his eye to his telescope, he found it again and was once more about to enter it on his chart when, alert for any odd sound, he heard a distant knock which echoed through the deserted grounds, followed immediately by the muffled barking of a large dog
[26880]783   He looked up, his heart hammering
[26881]5840    There were lights on in Hagrid's windows and the people he had observed crossing the lawn were now silhouetted against them
[26882]1147    The door opened and he distinctly saw six sharply defined figures walk over the threshold
[26883]682    The door closed again and there was silence
[26884]6022   Harry felt very uneasy
[26885]22139    He glanced around to see whether Ron or Hermione had noticed what he had, but Professor Marchbanks came walking behind him at that moment and, not wanting to look as though he was sneaking looks at anyone else's work, Harry hastily bent over his star-chart and pretended to be adding notes to it while really peering over the top of the parapet towards Hagrid's cabin
[26886]366    Figures were now moving across the cabin windows, temporarily blocking the light
[26887]8659   He could feel Professor Marchbanks's eyes on the back of his neck and pressed his eye again to his telescope, staring up at the moon though he had marked its position an hour ago, but as Professor Marchbanks moved on he heard a roar from the distant cabin that echoed through the darkness right to the top of the Astronomy Tower
[26888]11644    Several of the people around Harry ducked out from behind their telescopes and peered instead in the direction of Hagrid's cabin
[26889]1313   Professor Tofty gave another dry little cough
[26890]5292   Try and concentrate, now, boys and girls,' he said softly
[26891]377   Most people returned to their telescopes
[26892]6683    Harry looked to his left
[26893]7119    Hermione was gazing transfixed at Hagrid's cabin
[26894]5962   Ahem-twenty minutes to go,' said Professor Tofty
[26895]8234   Hermione jumped and returned at once to her star-chart; Harry looked down at his own and noticed that he had mis-labelled Venus as Mars
[26896]57    He bent to correct it
[26897]168   There was a loud BANG from the grounds
[26898]364    Several people cried Ouch
[26899]1047  ' when they poked themselves in the face with the ends of their telescopes as they hastened to see what was going on below
[26900]7801   Hagrid's door had burst open and by the light flooding out of the cabin they saw him quite clearly, a massive figure roaring and brandishing his fists, surrounded by six people, all of whom, judging by the tiny threads of red light they were casting in his direction, seemed to be attempting to Stun him
[26901]0   No
[26902]1655  ' cried Hermione
[26903]90   My dear
[26904]6391  ' said Professor Tofty in a scandalised voice
[26905]24    This is an examination
[26906]74  'But nobody was paying the slightest attention to their star-charts any more
[26907]11662    Jets of red light were still flying about beside Hagrid's cabin, yet somehow they seemed to be bouncing off him; he was still upright and still, as far as Harry could see, fighting
[26908]958    Cries and yells echoed across the grounds; a man yelled, Be reasonable, Hagrid
[26909]1719  'Hagrid roared, Reasonable be damned, yeh won' take me like this, Dawlish
[26910]7139  ' Harry could see the tiny outline of Fang, attempting to defend Hagrid, leaping repeatedly at the wizards surrounding him until a Stunning Spell caught him and he fell to the ground
[26911]3630    Hagrid gave a howl of fury, lifted the culprit bodily from the ground and threw him; the man flew what looked like ten feet and did not get up again
[26912]11510    Hermione gasped, both hands over her mouth; Harry looked round at Ron and saw that he, too, was looking scared
[26913]926    None of them had ever seen Hagrid in a real temper before
[26914]457   Look
[26915]1800  ' squealed Parvati, who was leaning over the parapet and pointing to the foot of the castle where the front doors had opened again; more light was spilling out on to the dark lawn and a single long black shadow was now rippling across the lawn
[26916]288   Now, really
[26917]5884  ' said Professor Tofty anxiously
[26918]1175    Only sixteen minutes left, you know
[26919]5744  'But nobody paid him the slightest attention: they were watching the person now sprinting towards the battle beside Hagrid's cabin
[26920]23   How dare you
[26921]224  ' the figure shouted as she ran
[26922]23    How dare you
[26923]5005  'It's McGonagall
[26924]1738  ' whispered Hermione
[26925]122   Leave him alone
[26926]270   Alone,I say
[26927]11429  ' said Professor McGonagall's voice through the darkness
[26928]71    On what grounds are you attacking him
[26929]1729   He has done nothing, nothing to warrant such-'Hermione, Parvati and Lavender all screamed
[26930]1118    The figures around the cabin had shot no fewer than four Stunners at Professor McGonagall
[26931]2468    Halfway between cabin and castle the red beams collided with her; for a moment she looked luminous and glowed an eerie red, then she lifted right off her feet, landed hard on her back, and moved no more
[26932]10   Galloping gargoyles
[26933]1024  ' shouted Professor Tofty, who also seemed to have forgotten the exam completely
[26934]29    Not so much as a warning
[26935]14   Outrageous behaviour
[26936]2  'COWARDS
[26937]1696  ' bellowed Hagrid; his voice carried clearly to the top of the tower, and several lights flickered back on inside the castle
[26938]14    RUDDY COWARDS
[26939]2128   HAVE SOME O' THAT- AN' THAT-'Oh my-' gasped Hermione
[26940]1063   Hagrid took two massive swipes at his closest attackers; judging by their immediate collapse, they had been knocked cold
[26941]7258    Harry saw Hagrid double over, and thought he had finally been overcome by a spell
[26942]7098    But, on the contrary, next moment Hagrid was standing again with what appeared to be a sack on his back-then Harry realised that bangs limp body was draped around his shoulders
[26943]0   Get him, get him
[26944]6712  ' screamed Umbridge, but her remaining helper seemed highly reluctant to go within reach of Hagrid's fists; indeed, he was backing away so fast he tripped over one of his unconscious colleagues and fell over
[26945]1230    Hagrid had turned and begun to run with Fang still hung around his neck
[26946]1602    Umbridge sent one last Stunning Spell after him but it missed; and Hagrid, running full-pelt towards the distant gates, disappeared into the darkness
[26947]5620   There was a long minute's quivering silence as everybody gazed open-mouthed into the grounds
[26948]11157    Then Professor Tofty's voice said feebly, Um 
[26949]0   
[26950]0   
[26951]156    five minutes to go, everybody
[26952]6041   'Though he had only filled in two-thirds of his chart, Harry was desperate for the exam to end
[26953]3969    When it came at last he, Ron and Hermione forced their telescopes haphazardly back into their holders and dashed back down the spiral staircase
[26954]1272    None of the students were going to bed; they were all talking loudly and excitedly at the foot of the stairs about what they had witnessed
[26955]77   That evil woman
[26956]1949  ' gasped Hermione, who seemed to be having difficulty talking due to rage
[26957]1180    Trying to sneak up on Hagrid in the dead of night
[26958]11075  'She clearly wanted to avoid another scene like Trelawney's,' said Ernie Macmillan sagely, squeezing over to join them
[26959]4027   Hagrid did well, didn't he
[26960]7796  ' said Ron, who looked more alarmed than impressed
[26961]496    How come all the spells bounced off him
[26962]7428  'It'll be his giant blood,' said Hermione shakily
[26963]1276    Its very hard to Stun a giant, they're like trolls, really tough 
[26964]0   
[26965]0   
[26966]1036    but poor Professor McGonagall 
[26967]0   
[26968]0   
[26969]5050    four Stunners straight in the chest and she's not exactly young, is she
[26970]5784  ' Dreadful, dreadful,' said Ernie, shaking his head pompously
[26971]618    Well, I'm off to bed
[26972]190    Night, all
[26973]1829   'People around them were drifting away, still talking excitedly about what they had just seen
[26974]10500   At least they didn't get to take Hagrid off to Azkaban,' said Ron
[26975]8101    I spect he's gone to join Dumbledore, hasn't he
[26976]7443  'I suppose so,' said Hermione, who looked tearful
[26977]3630    Oh, this is awful, I really thought Dumbledore would be back before long, but now we've lost Hagrid too
[26978]742   'They traipsed back to the Gryffindor common room to find it full
[26979]450    The commotion out in the grounds had woken several people, who had hastened to rouse their friends
[26980]10216    Seamus and Dean, who had arrived ahead of Harry, Ron and Hermione, were now telling everyone what they had seen and heard from the top of the Astronomy Tower
[26981]665   But why sack Hagrid now
[26982]1045  ' asked Angelina Johnson, shaking her head
[26983]10799    It's not like Trelawney; he's been teaching much better than usual this year
[26984]6764  'Urnbridge hates part-humans,' said Hermione bitterly, flopping down into an armchair
[26985]1227    She was always going to try and get Hagrid out
[26986]1349   'And she thought Hagrid was putting Nifflers in her office,' piped up Katie Bell
[26987]5716   Oh, blimey,' said Lee Jordan, covering his mouth
[26988]9711    It's me who's been putting the Nifflers in her office
[26989]1993    Fred and George left me a couple; I've been levitating them in through her window
[26990]5788   'She'd have sacked him anyway,' said Dean
[26991]915    He was too close to Dumbledore
[26992]22026   ' That's true,' said Harry, sinking into an armchair beside Hermione's
[26993]12301   I just hope Professor McGonagall's all right,' said Lavender tearfully
[26994]5591   They carried her back up to the castle, we watched through the dormitory window,' said Colin Creevey
[26995]3165    She didn't look very well
[26996]5384   'Madam Pomfrey will sort her out,' said Alicia Spinnet firmly
[26997]4761    She's never failed yet
[26998]792   'It was nearly four in the morning before the common room cleared
[26999]15673    Harry felt wide awake; the image of Hagrid sprinting away into the dark was haunting him; he was so angry with Umbridge he could not think of a punishment bad enough for her, though Ron's suggestion of having her fed to a box of starving Blast-Ended Skrewts had its merits
[27000]714    He fell asleep contemplating hideous revenges and arose from bed three hours later feeling distinctly unrested
[27001]503   Their final exam, History of Magic, was not to take place until that afternoon
[27002]10479    Harry would very much have liked to go back to bed after breakfast, but he had been counting on the morning for a spot of last-minute revision, so instead he sat with his head in his hands by the common-room window, trying hard not to doze off as he read through some of the three-and-a-half-feet-high stack of notes that Hermione had lent him
[27003]1681   The fifth-years entered the Great Hall at two o'clock and took their places in front of their face-down examination papers
[27004]6027    Harry felt exhausted
[27005]11108    He just wanted this to be over, so that he could go and sleep; then tomorrow, he and Ron were going to go down to the Quidditch pitch-he was going to have a fly on Ron's broom-and savour their freedom from revision
[27006]6372   Turn over your papers,' said Professor Marchbanks from the front of the Hall, flicking over the giant hour-glass
[27007]5923    You may begin 'Harry stared fixedly at the first question
[27008]436    It was several seconds before it occurred to him that he had not taken in a word of it; there was a wasp buzzing distractingly against one of the high windows
[27009]356    Slowly, tortuously, he at last began to write an answer
[27010]320   He was finding it very difficult to remember names and kept confusing dates
[27011]1454    He simply skipped question four (In your opinion, did wand legislation contribute to, or lead to better control of, goblin riots of the eighteenth century
[27012]863  ), thinking that he would go back to it if he had time at the end
[27013]91    He had a stab at question five (How was the Statute of Secrecy breached in 1749 and what measures were introduced to prevent a recurrence
[27014]813  ) but had a nagging suspicion that he had missed several important points; he had a feeling vampires had come into the story somewhere
[27015]1734   He looked ahead for a question he could definitely answer and his eyes alighted upon number ten: Describe the circumstances that led to the formation of the International Confederation of Wizards and explain why the warlocks of Liechtenstein refused to join
[27016]7227   I know this, Harry thought, though his brain felt torpid and slack
[27017]6549    He could visualise a heading, in Hermione's handwriting: The formation of the International Confederation of Wizards 
[27018]0   
[27019]0   
[27020]261    he had read those notes only this morning
[27021]2089   He began to write, looking up now and again to check the large hour-glass on the desk beside Professor Marchbanks
[27022]1827    He was sitting right behind Parvati Patil, whose long dark hair fell below the back of her chair
[27023]1940    Once or twice he found himself staring at the tiny golden lights that glistened in it when she moved her head slightly, and had to give his own head a little shake to clear it
[27024]0   
[27025]0   
[27026]0   
[27027]6847    the first Supreme Mugwump of the International Confederation of Wizards was Pierre Bonaccord, but his appointment was contested by the wizarding community of Liechtenstein, because-All around Harry quills were scratching on parchment like scurrying, burrowing rats
[27028]562    The sun was very hot on the back of his head
[27029]119    What was it that Bonaccord had done to offend the wizards of Liechtenstein
[27030]5915   Harry had a feeling it had something to do with trolls 
[27031]0   
[27032]0   
[27033]5335    he gazed blankly at the back of Parvati's head again
[27034]970    If he could only perform Legilimency and open a window in the back of her head and see what it was about trolls that had caused the breach between Pierre Bonaccord and Liechtenstein 
[27035]0   
[27036]0   
[27037]7502   Harry closed his eyes and buried his face in his hands, so that the glowing red of his eyelids grew dark and cool
[27038]345    Bonaccord had wanted to stop troll-hunting and give the trolls rights 
[27039]0   
[27040]0   
[27041]182    but Liechtenstein was having problems with a tribe of particularly vicious mountain trolls 
[27042]0   
[27043]0   
[27044]0    that was it
[27045]968   He opened his eyes; they stung and watered at the sight of the blazing white parchment
[27046]453    Slowly, he wrote two lines about the trolls, then read through what he had done so far
[27047]7475    It did not seem very informative or detailed, yet he was sure Hermione's notes on the Confederation had gone on for pages and pages
[27048]1153   He closed his eyes again, trying to see them, trying to remember 
[27049]0   
[27050]0   
[27051]968    the Confederation had met for the first time in France, yes, he had written that already 
[27052]0   
[27053]0   
[27054]143   Goblins had tried to attend and been ousted 
[27055]0   
[27056]0   
[27057]39    he had written that, too 
[27058]0   
[27059]0   
[27060]615   And nobody from Liechtenstein had wanted to come 
[27061]0   
[27062]0   
[27063]1804   Think, he told himself, his face in his hands, while all around him quills scratched out never-ending answers and the sand trickled through the hour-glass at the front 
[27064]0   
[27065]0   
[27066]888   He was walking along the cool, dark corridor to the Department of Mysteries again, walking with a firm and purposeful tread, breaking occasionally into a run, determined to reach his destination at last 
[27067]0   
[27068]0   
[27069]1680    the black door swung open for him as usual, and here he was in the circular room with its many doors 
[27070]0   
[27071]0   
[27072]1136   Straight across the stone floor and through the second door 
[27073]0   
[27074]0   
[27075]1188    patches of dancing light on the walls and floor and that odd mechanical clicking, but no time to explore, he must hurry 
[27076]0   
[27077]0   
[27078]2572   He jogged the last few feet to the third door, which swung open just like the others 
[27079]0   
[27080]0   
[27081]583   Once again he was in the cathedral-sized room full of shelves and glass spheres 
[27082]0   
[27083]0   
[27084]192    his heart was beating very fast now 
[27085]0   
[27086]0   
[27087]1045    he was going to get there this time 
[27088]0   
[27089]0   
[27090]959    when he reached number ninety-seven he turned left and hurried along the aisle between two rows 
[27091]0   
[27092]0   
[27093]1853   But there was a shape on the floor at the very end, a black shape moving on the floor like a wounded animal 
[27094]0   
[27095]0   
[27096]10579    Harry's stomach contracted with fear 
[27097]0   
[27098]0   
[27099]26    with excitement 
[27100]0   
[27101]0   
[27102]1525   A voice issued from his own mouth, a high, cold voice empty of any human kindness 
[27103]0   
[27104]0   
[27105]0   Take it for me 
[27106]0   
[27107]0   
[27108]35    lift it down, now 
[27109]0   
[27110]0   
[27111]32    I cannot touch it 
[27112]0   
[27113]0   
[27114]0    but you can 
[27115]0   
[27116]0   
[27117]818   'The black shape on the floor shifted a little
[27118]7638    Harry saw a long-fingered white hand clutching a wand rise at the end of his own arm 
[27119]0   
[27120]0   
[27121]1304    heard the high, cold voice say Crucio
[27122]1050  'The man on the floor let out a scream of pain, attempted to stand but fell back, writhing
[27123]5788    Harry was laughing
[27124]658    He raised his wand, the curse lifted and the figure groaned and became motionless
[27125]404   Lord Voldemort is waiting 
[27126]0   
[27127]0   
[27128]1181   'Very slowly, his arms trembling, the man on the ground raised his shoulders a few inches and lifted his head
[27129]633    His face was bloodstained and gaunt, twisted in pain yet rigid with defiance 
[27130]0   
[27131]0   
[27132]1421   You'll have to kill me,' whispered Sirius
[27133]5955   Undoubtedly I shall in the end,' said the cold voice
[27134]246    But you will fetch it for me first, Black 
[27135]0   
[27136]0   
[27137]1053    you think you have felt pain thus far
[27138]562   Think again 
[27139]0   
[27140]0   
[27141]317    we have hours ahead of us and nobody to hear you scream 
[27142]0   
[27143]0   
[27144]8284   'But somebody screamed as Voldemort lowered his wand again; somebody yelled and fell sideways off a hot desk on to the cold stone floor; Harry awoke as he hit the ground, still yelling, his scar on fire, as the Great Hall erupted all around him
[27145]59     J
[27146]56   K
[27147]742    RowlingHarry Potter&The Order of the Phoenix 
[27148]0    
[27149]0    
[27150]0    
[27151]0    
[27152]0    
[27153]0    
[27154]0    
[27155]0    
[27156]0    
[27157]0    
[27158]0    
[27159]0    
[27160]716    Lionfish 11/Nov/2007     Chapter Thirty-two     Out of the FireContents  Prev Chapter  Next Chapter  
[27161]930     I'm not going 
[27162]0   
[27163]0   
[27164]3233    I don't need the hospital wing 
[27165]0   
[27166]0   
[27167]3276    I don't want 
[27168]0   
[27169]0   
[27170]8224   ' He was gibbering as he tried to pull away from Professor Tofty, who was looking at Harry with much concern after helping him out into the Entrance Hall with the students all around them staring
[27171]7388   I'm-I'm fine, sir,' Harry stammered, wiping the sweat from his face
[27172]288    Really 
[27173]0   
[27174]0   
[27175]982    I just fell asleep 
[27176]0   
[27177]0   
[27178]8    had a nightmare 
[27179]0   
[27180]0   
[27181]15   'Pressure of examinations
[27182]11298  ' said the old wizard sympathetically, patting Harry shakily on the shoulder
[27183]182    It happens, young man, it happens
[27184]668   Now, a cooling drink of water, and perhaps you will be ready to return to the Great Hall
[27185]470   The examination is nearly over, but you may be able to round off your last answer nicely
[27186]11138  'Yes,' said Harry wildly
[27187]231    I mean 
[27188]0   
[27189]0   
[27190]0    no 
[27191]0   
[27192]0   
[27193]1255    I've done-done as much as I can, I think 
[27194]0   
[27195]0   
[27196]5448   'Very well, very well,' said the old wizard gently
[27197]164    I shall go and collect your examination paper and I suggest that you go and have a nice lie down
[27198]11415   'I'll do that,' said Harry, nodding vigorously
[27199]40    Thanks very much
[27200]18708   'The second that the old man's heels disappeared over the threshold into the Great Hall, Harry ran up the marble staircase, hurtled along the corridors so fast the portraits he passed muttered reproaches, up more flights of stairs, and finally burst like a hurricane through the double doors of the hospital wing, causing Madam Pomfrey-who had been spooning some bright blue liquid into Montague's open mouth-to shriek in alarm
[27201]1205   Potter, what do you think you're doing
[27202]7068  'I need to see Professor McGonagall,' gasped Harry, the breath tearing his lungs
[27203]0    Now 
[27204]0   
[27205]0   
[27206]4761    it's urgent
[27207]10451  'She's not here, Potter,' said Madam Pomfrey sadly
[27208]43    She was transferred to St
[27209]4886    Mungo's this morning
[27210]242    Four Stunning Spells straight to the chest at her age
[27211]7572   It's a wonder they didn't kill her
[27212]4750   'She's 
[27213]0   
[27214]0   
[27215]129    gone
[27216]10845  ' said Harry, shocked
[27217]1727   The bell rang just outside the dormitory and he heard the usual distant rumbling of students starting to flood out into the corridors above and below him
[27218]970    He remained quite still, looking at Madam Pomfrey
[27219]249    Terror was rising inside him
[27220]607   There was nobody left to tell
[27221]2813    Dumbledore had gone, Hagrid had gone, but he had always expected Professor McGonagall to be there, irascible and inflexible, perhaps, but always dependably, solidly present 
[27222]0   
[27223]0   
[27224]9304   I don't wonder you're shocked, Potter,' said Madam Pomfrey, with a kind of fierce approval in her face
[27225]822    As if one of them could have Stunned Minerva McGonagall face-on by daylight
[27226]4754   Cowardice, that's what it was 
[27227]0   
[27228]0   
[27229]5    despicable cowardice 
[27230]0   
[27231]0   
[27232]3321    if I wasn't worried what would happen to you students without me, I'd resign in protest
[27233]11132   'Yes,' said Harry blankly
[27234]2579   He wheeled around and strode blindly from the hospital wing into the teeming corridor where he stood, buffeted by the crowd, panic expanding inside him like poison gas so that his head swam and he could not think what to do 
[27235]0   
[27236]0   
[27237]9732   Ron and Hermione, said a voice in his head
[27238]654   He was running again, pushing students out of the way, oblivious to their angry protests
[27239]464    He sprinted, back down two floors and was at the top of the marble staircase when he saw them hurrying towards him
[27240]5732   Harry
[27241]7333  ' said Hermione at once, looking very frightened
[27242]143    What happened
[27243]557   Are you all right
[27244]18   Are you ill
[27245]0  'Where have you been
[27246]2031  ' demanded Ron
[27247]11409   Come with me,' Harry said quickly
[27248]2151    Come on, I've got to tell you something
[27249]5200   'He led them along the first-floor corridor, peering through doorways, and at last found an empty classroom into which he dived, closing the door behind Ron and Hermione the moment they were inside, and leaned against it, facing them
[27250]1339   Voldemorts got Sirius
[27251]0   'What
[27252]621  'How d'you-
[27253]326  'Saw it
[27254]808    Just now
[27255]199    When I fell asleep in the exam
[27256]0   'But-but where
[27257]0   How
[27258]7303  ' said Hermione, whose face was white
[27259]10862   I dunno how,' said Harry
[27260]872    But I know exactly where
[27261]6117    There's a room in the Department of Mysteries full of shelves covered in these little glass balls and they're at the end of row ninety-seven 
[27262]0   
[27263]0   
[27264]5770    he's trying to use Sirius to get whatever it is he wants from in there 
[27265]0   
[27266]0   
[27267]4752    he's torturing him 
[27268]0   
[27269]0   
[27270]882    says he'll end by killing him
[27271]6409  'Harry found his voice was shaking, as were his knees
[27272]622    He moved over to a desk and sat down on it, trying to master himself
[27273]489   How're we going to get there
[27274]356  ' he asked them
[27275]5097   There was a moment's silence
[27276]7096    Then Ron said, G-get there
[27277]765  'Get to the Department of Mysteries, so we can rescue Sirius
[27278]10954  ' Harry said loudly
[27279]5732   But-Harry 
[27280]0   
[27281]0   
[27282]7110   ' said Ron weakly
[27283]0   What
[27284]0   What
[27285]10818  ' said Harry
[27286]130   He could not understand why they were both gaping at him as though he was asking them something unreasonable
[27287]13120   Harry,' said Hermione in a rather frightened voice, er 
[27288]0   
[27289]0   
[27290]0    how 
[27291]0   
[27292]0   
[27293]1358    how did Voldemort get into the Ministry of Magic without anybody realising he was there
[27294]771  'How do I know
[27295]5766  ' bellowed Harry
[27296]541    The question is how we're going to get in there
[27297]0  'But 
[27298]0   
[27299]0   
[27300]18107    Harry, think about this,' said Hermione, taking a step towards him, it's five o'clock in the afternoon 
[27301]0   
[27302]0   
[27303]434    the Ministry of Magic must be full of workers 
[27304]0   
[27305]0   
[27306]1753    how would Voldemort and Sirius have got in without being seen
[27307]5732   Harry 
[27308]0   
[27309]0   
[27310]403    they're probably the two most wanted wizards in the world 
[27311]0   
[27312]0   
[27313]590    you think they could get into a building full of Aurors undetected
